candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Reddyboina Prasanna Kumar,IND,50.0,Andhra Pradesh,0,5th Pass,12500,0,2019
Revu Sudhakar,IND,34.0,Andhra Pradesh,0,10th Pass,0,0,2019
Riyaz Dada Miya Shaik,IUML,32.0,Andhra Pradesh,0,10th Pass,45000,0,2019
Roopa Rammohan Maganti,TDP,45.0,Andhra Pradesh,0,Graduate,431848590,324874000,2019
Ruddireddy Radhakrishna,AIFB,38.0,Andhra Pradesh,0,Others,500000,280000,2019
Ruthala Srirama Murthy,INC,49.0,Andhra Pradesh,0,Graduate Professional,27611641,0,2019
S. A. Indumathi,IND,42.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
S.Md. Shafath,Rayalaseema Rashtra Samithi,30.0,Andhra Pradesh,0,Graduate Professional,5000000,0,2019
S.P.Y. Reddy,Janasena Party,69.0,Andhra Pradesh,1,Graduate,333760526,9594811,2019
S.R.Anjaneyulu,IND,35.0,Andhra Pradesh,0,Post Graduate,43000,0,2019
S.Ram Mohan,Pyramid Party of India,33.0,Andhra Pradesh,0,10th Pass,89797,0,2019
Samudrala Chinna Kotaiah,National Dalitha Dhal Party,41.0,Andhra Pradesh,0,10th Pass,0,0,2019
