Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
331,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"Rs 27,09,59,520  ~ 27 Crore+","Rs 7,28,107  ~ 7 Lacs+"
332,Khagen Murmu,MALDAHA UTTAR,BJP,4,Graduate,"Rs 1,02,32,439  ~ 1 Crore+","Rs 10,70,914  ~ 10 Lacs+"
333,Anumula Revanth Reddy,MALKAJGIRI,INC,42,Graduate,"Rs 24,53,57,182  ~ 24 Crore+","Rs 2,78,07,304  ~ 2 Crore+"
334,Ram Swaroop Sharma,MANDI,BJP,0,10th Pass,"Rs 1,57,24,337  ~ 1 Crore+","Rs 7,83,963  ~ 7 Lacs+"
335,Faggan Singh Kulaste,MANDLA,BJP,0,Post Graduate,,
336,Sudheer Gupta,MANDSOUR,BJP,1,Post Graduate,"Rs 9,09,08,944  ~ 9 Crore+","Rs 7,99,283  ~ 7 Lacs+"
337,Sumalatha Ambareesh,MANDYA,IND,0,10th Pass,"Rs 23,41,54,139  ~ 23 Crore+","Rs 1,42,32,295  ~ 1 Crore+"
338,Shri Dilip Saikia,MANGALDOI,BJP,0,Graduate,"Rs 62,06,286  ~ 62 Lacs+",Rs 0  ~
339,Hema Malini Dharmendra Deol,MATHURA,BJP,0,Doctorate,"Rs 2,50,82,70,292  ~ 250 Crore+","Rs 13,12,88,062  ~ 13 Crore+"
340,Choudhury Mohan Jatua,MATHURAPUR,AITC,0,Post Graduate,,
341,Shrirang Chandu Barne,MAVAL,SHS,3,8th Pass,"Rs 1,02,33,10,134  ~ 102 Crore+","Rs 4,16,612  ~ 4 Lacs+"
342,Kodikunnil Suresh,MAVELIKKARA,INC,1,Graduate Professional,"Rs 1,29,65,129  ~ 1 Crore+","Rs 9,82,819  ~ 9 Lacs+"
343,Ramalingam S,MAYILADUTHURAI,DMK,0,Graduate,"Rs 1,33,55,095  ~ 1 Crore+","Rs 2,15,000  ~ 2 Lacs+"
344,Bishweswar Tudu,MAYURBHANJ,BJP,1,10th Pass,"Rs 27,42,000  ~ 27 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
345,Kotha Prabhakar Reddy,MEDAK,TRS,0,Graduate,,
346,Dilip Kumar Ghosh,MEDINIPUR,BJP,14,10th Pass,"Rs 45,36,462  ~ 45 Lacs+",Rs 0  ~
347,Rajendra Agarwal,MEERUT,BJP,3,Post Graduate,"Rs 1,34,89,377  ~ 1 Crore+","Rs 19,90,094  ~ 19 Lacs+"
348,Anupriya Singh Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,"Rs 2,69,00,662  ~ 2 Crore+","Rs 18,05,603  ~ 18 Lacs+"
349,Ashok Kumar,MISRIKH,BJP,0,Post Graduate,"Rs 4,87,71,207  ~ 4 Crore+","Rs 57,35,470  ~ 57 Lacs+"
350,C Lalrosanga,MIZORAM,MNF,0,Graduate,,
351,Kaushal Kishore,MOHANLALGANJ,BJP,1,Graduate,"Rs 5,55,30,561  ~ 5 Crore+",Rs 0  ~
352,Dr. S T Hasan,MORADABAD,SP,0,Post Graduate,"Rs 5,57,95,546  ~ 5 Crore+","Rs 5,00,000  ~ 5 Lacs+"
353,Narendra Singh Tomar,MORENA,BJP,1,Graduate,"Rs 2,30,62,224  ~ 2 Crore+","Rs 66,89,767  ~ 66 Lacs+"
354,Gopal Chinnaya Shetty,MUMBAI NORTH,BJP,9,5th Pass,"Rs 15,75,35,232  ~ 15 Crore+","Rs 2,11,36,135  ~ 2 Crore+"
355,Poonam Vajendla Rao,MUMBAI NORTH CENTRAL,BJP,2,Others,,
356,Manoj Kishorbhai Kotak,MUMBAI NORTH EAST,BJP,2,10th Pass,"Rs 5,46,61,944  ~ 5 Crore+","Rs 20,48,000  ~ 20 Lacs+"
357,Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,SHS,0,Graduate,"Rs 10,53,92,000  ~ 10 Crore+","Rs 40,32,000  ~ 40 Lacs+"
358,Arvind Sawant,MUMBAI SOUTH,SHS,1,Graduate,"Rs 2,71,81,577  ~ 2 Crore+",Rs 0  ~
359,Rahul Ramesh Shewale,MUMBAI SOUTH CENTRAL,SHS,0,Others,"Rs 1,88,81,363  ~ 1 Crore+","Rs 77,78,954  ~ 77 Lacs+"
360,Rajiv Ranjan Singh,MUNGER,JD(U),1,Graduate,,
361,Abu Taher Khan,MURSHIDABAD,AITC,3,8th Pass,"Rs 89,26,616  ~ 89 Lacs+","Rs 13,50,000  ~ 13 Lacs+"
362,Sanjeev Kumar Balyan,MUZAFFARNAGAR,BJP,1,Doctorate,"Rs 1,57,81,189  ~ 1 Crore+","Rs 23,73,645  ~ 23 Lacs+"
363,Ajay Nishad,MUZAFFARPUR,BJP,1,Graduate,"Rs 29,88,67,486  ~ 29 Crore+","Rs 1,57,14,320  ~ 1 Crore+"
364,Prathap Simha,MYSORE,BJP,3,Post Graduate,"Rs 1,87,23,762  ~ 1 Crore+","Rs 65,86,698  ~ 65 Lacs+"
365,Ramesh Chandra Majhi,NABARANGPUR,BJD,0,Graduate,,
366,Tokheho Yepthomi,NAGALAND,Nationalist Democratic Progressive Party,0,Graduate,"Rs 12,81,17,474  ~ 12 Crore+","Rs 1,86,00,000  ~ 1 Crore+"
367,Selvaraj M,NAGAPATTINAM,CPI,0,12th Pass,"Rs 45,72,837  ~ 45 Lacs+","Rs 12,51,381  ~ 12 Lacs+"
368,Pothuganti Ramulu,NAGARKURNOOL,TRS,0,Graduate,"Rs 1,07,78,684  ~ 1 Crore+",Rs 0  ~
369,Hanuman Beniwal,NAGAUR,Rashtriya Loktantrik Party,0,Graduate Professional,"Rs 42,18,568  ~ 42 Lacs+",Rs 0  ~
370,Girish Chandra,NAGINA,BSP,1,12th Pass,,
371,Nitin Jairam Gadkari,NAGPUR,BJP,4,Graduate Professional,"Rs 18,79,16,075  ~ 18 Crore+","Rs 4,07,29,055  ~ 4 Crore+"
372,Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Graduate Professional,"Rs 1,96,99,529  ~ 1 Crore+",Rs 0  ~
373,Kaushlendra Kumar,NALANDA,JD(U),0,12th Pass,"Rs 2,92,51,651  ~ 2 Crore+","Rs 27,12,389  ~ 27 Lacs+"
374,Nalamada Uttam Kumar Reddy,NALGONDA,INC,4,Graduate,"Rs 3,15,01,349  ~ 3 Crore+","Rs 12,00,000  ~ 12 Lacs+"
375,Chinraj A.K.P,NAMAKKAL,DMK,0,Graduate,,
376,Chikhalikar Pratap Govindrao,NANDED,BJP,0,12th Pass,"Rs 5,21,78,606  ~ 5 Crore+","Rs 5,94,000  ~ 5 Lacs+"
377,Heena Vijaykumar Gavit,NANDURBAR,BJP,0,Post Graduate,"Rs 27,16,34,532  ~ 27 Crore+","Rs 1,52,91,251  ~ 1 Crore+"
378,Pocha Brahmananda Reddy,NANDYAL,YSRCP,1,Post Graduate,"Rs 58,59,32,911  ~ 58 Crore+","Rs 17,70,35,582  ~ 17 Crore+"
379,Lavu Sri Krishna Devarayalu,NARASARAOPET,YSRCP,0,Graduate Professional,"Rs 17,77,10,073  ~ 17 Crore+","Rs 1,01,42,413  ~ 1 Crore+"
380,Kanumuru Raghu Rama Krishna Raju,NARSAPURAM,YSRCP,3,Post Graduate,,
381,Hemant Tukaram Godse,NASHIK,SHS,1,Others,"Rs 14,68,69,996  ~ 14 Crore+","Rs 4,10,83,126  ~ 4 Crore+"
382,Patil Chandrakant,NAVSARI,BJP,1,10th Pass,"Rs 44,60,44,269  ~ 44 Crore+","Rs 5,68,46,658  ~ 5 Crore+"
383,Chandan Singh,NAWADA,LJP,2,Graduate,"Rs 17,67,20,167  ~ 17 Crore+","Rs 47,22,200  ~ 47 Lacs+"
384,Pradyut Bordoloi,NAWGONG,INC,0,Post Graduate,"Rs 7,41,43,272  ~ 7 Crore+","Rs 40,11,152  ~ 40 Lacs+"
385,Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,,
